Nit sqrt fn sigma_half Rn exp sigma sqrt_restart
1 632.397993230834 44983.9934018281 650.519803555824 632.596022306088 632.397993230834 703.086981312137 632.398070894595
2 3.53098765677828 360.590606177998 3.85197803586353 3.56159206906862 3.53076829120667 4.52318931511567 3.546136022451
3 2.36280293892911 293.920123519025 2.85536395409498 2.46131681724907 2.36155464551825 3.64771937956124 2.40280505056333
4 1.74704759446825 254.180070285643 2.3017765403649 1.90341341351874 1.74410651180704 3.06435566777843 1.80450796251736
5 1.35106214405384 227.062320168783 1.90392858918621 1.54985972573048 1.34669643724528 2.61465239208443 1.41841150739507
6 1.1040271185908 207.046439136496 1.62508139430694 1.33215952524997 1.09862732891084 2.29217830841209 1.17645784233183
7 0.948924007485069 191.491355169534 1.43270437906892 1.18815737246986 0.942829211961578 2.06055134988816 1.02324822112349
8 0.8407422184072 178.953769415984 1.29157385379988 1.07272387747545 0.834198527374203 1.88228105558791 0.915297800625005
9 0.75740827448954 168.569536555793 1.17984652043929 0.977818448320967 0.750621812788272 1.73838567748448 0.831026921612647
10 0.689221312147928 159.785488783897 1.08422360217501 0.895741882248119 0.682323648350486 1.6153146976121 0.76141040427303
11 0.629616113358072 152.228920696337 0.993875494868055 0.820848855502871 0.622685166578938 1.49940887702691 0.700265525337506
12 0.572609198785667 145.638329435836 0.903978754983517 0.746327229192254 0.565676919895898 1.38260472977271 0.641785921582023
13 0.514457300042394 139.824097402072 0.812280392745343 0.669284354387956 0.507555164304983 1.26009711198694 0.582238185290687
14 0.455852287936539 134.644930959304 0.719755123794183 0.59097978757071 0.449002754663063 1.13692864757662 0.522142056093993
15 0.398991277571572 129.993098568898 0.628346128712422 0.514360422273829 0.392317216114731 1.01109990800281 0.463838332893922
16 0.344668854514917 125.784830886192 0.540728806462219 0.441143371721256 0.338729517252126 0.886694286287335 0.4081887342591
17 0.29364008975205 121.953876818565 0.459050110949344 0.372693534958797 0.289524003403031 0.767210281032218 0.35590971721287
18 0.246942445149631 118.447058395892 0.38499876000359 0.310486213996302 0.248639507700263 0.655748219985232 0.308012994881651
19 0.20534148353229 115.221130764682 0.319507512910795 0.255484108264569 0.219581398198973 0.554509428035847 0.265238805550746
20 0.169160855355581 112.240517347147 0.262796913045194 0.208011775867104 0.201674545184755 0.464632071919097 0.227917365893622
21 0.13833706521304 109.475645773757 0.214556221139608 0.167873714683446 0.192535011699077 0.386330631920027 0.195997120380943
22 0.112521021953419 106.901704903637 0.174143848556603 0.134517130899344 0.187697786278655 0.319171535455093 0.169156610320643
23 0.0912027733659753 104.497702534138 0.140695196056325 0.107180489957948 0.184711692333332 0.262290931787742 0.146877641606625
24 0.0737973111323709 102.24574145081 0.113261665090616 0.0850292741717817 0.182822009071451 0.214605538822055 0.128565214752984
25 0.0597156630808118 100.13045644069 0.0909250797138079 0.0672458572130723 0.181809611882156 0.174982916307167 0.113627222174217
26 0.048406535846929 98.138571614433 0.072843671693271 0.0530633729942789 0.181331325354136 0.14228213898486 0.101501165692782
27 0.0393747842343943 96.2585487880586 0.0582746493676818 0.0418080572012203 0.18107426079414 0.115449356314682 0.0916913530161434
28 0.032191386669052 94.4803055846489 0.0465744710958309 0.0329089128363376 0.180945676111352 0.0935238602223212 0.0837694223699876
29 0.0264954631617211 92.7949874860773 0.0372014090117361 0.0258915730266471 0.180857239079553 0.0756726518283206 0.0773719514104165
30 0.02198576466489 91.1947820423607 0.0297069730901818 0.0203679472429368 0.180820292889352 0.0611777487421783 0.0721917514489312
31 0.0184165292240546 89.6727663237091 0.0237212157705229 0.0160251945398353 0.180787211844717 0.0494311338838211 0.0679841484404351
32 0.0155904185323421 88.2227808071318 0.0189436933983558 0.0126129022280872 0.180776721856123 0.0399265971743925 0.0645517290299611
33 0.0133515604159724 86.8393244491833 0.0151320641457278 0.00993229999695266 0.180770477387335 0.0322434521427124 0.0617319102727891
34 0.0115767995480982 85.5174668631899 0.0120916727706279 0.00782641108131088 0.1807673775627 0.0260366428228926 0.059395553421727
35 0.010167999120652 84.2527744005362 0.00966606509866397 0.00617144201951136 0.180765650302633 0.0210253861672913 0.0574421028109953
36 0.00904738219956114 83.0412476072375 0.00773029163845296 0.00487020647658953 0.180764738197134 0.0169805384914525 0.0557922620175906
37 0.00815431478389428 81.879268043261 0.00618496150745873 0.00384644582398863 0.180764235919499 0.013716091338952 0.0543812947756361
38 0.00744081463417556 80.7635528520209 0.00495085740652357 0.00304035504036992 0.180763932299281 0.0110816973032435 0.0531620247479805
39 0.00686931770096644 79.6911157796787 0.00396491106823982 0.00240514627605037 0.180763768113749 0.00895561737733619 0.0520994516851725
40 0.00640999819809052 78.6592335892916 0.00317674829939874 0.00190418339548559 0.180763682491046 0.00723973176464154 0.0511568717249991
41 0.00603897707101142 77.6654170090752 0.00254642381946679 0.00150875865543565 0.180763630629388 0.00585444233233945 0.0503069938151524
42 0.00573757382550122 76.7073855087032 0.00204211317814806 0.00119637009117346 0.180763602281601 0.00473567774269723 0.0495314465310295
43 0.00549147463665944 75.7830453214728 0.00163843438147282 0.000949379863126598 0.180763586109432 0.00383194301185297 0.0488165215668497
44 0.00528886900975456 74.8904702299856 0.00131516544987464 0.000753942664057927 0.180763579138561 0.00310168897339835 0.0481536341592448
